[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 220 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.097006s ]
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.098006s ]
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | INFO: Tag[ view_filter ] --START--
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.018001s ]
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.003000s ]
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.002000s ]
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.024001s ]
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | INFO: Tag[ view_end ] --START--
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.002000s ]
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.002000s ]
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/verify | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2014-06-11T12:43:55+08:00 ] /crm/index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2014-06-11T12:43:56+08:00 ] /crm/index.php/Public/verify | NOTIC: [8] Undefined variable: disturb Image.class.php 第 340 行.
[ 2014-06-11T12:44:09+08:00 ] /crm/index.php/Public/checklogin | ERR: (ThinkException) Acc�s refus� pour l'utilisateur: 'root'@'@localhost' (mot de passe: NON)
[ 2014-06-11T12:44:37+08:00 ] /crm/index.php/Public/verify | INFO: Tag[ route_check ] --START--
[ 2014-06-11T12:44:37+08:00 ] /crm/index.php/Public/verify | INFO: Run CheckRoute Behavior [ RunTime:0.010000s ]
[ 2014-06-11T12:44:37+08:00 ] /crm/index.php/Public/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.010000s ]
[ 2014-06-11T12:44:37+08:00 ] /crm/index.php/Public/verify | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2014-06-11T12:44:37+08:00 ] /crm/index.php/Public/verify | INFO: Tag[ app_begin ] --START--
[ 2014-06-11T12:44:37+08:00 ] /crm/index.php/Public/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2014-06-11T12:44:37+08:00 ] /crm/index.php/Public/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2014-06-11T12:44:37+08:00 ] /crm/index.php/Public/verify | NOTIC: [8] Undefined variable: disturb Image.class.php 第 340 行.
[ 2014-06-11T12:44:45+08:00 ] /crm/index.php/Index/index | INFO: Tag[ route_check ] --START--
[ 2014-06-11T12:44:45+08:00 ] /crm/index.php/Index/index | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2014-06-11T12:44:45+08:00 ] /crm/index.php/Index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2014-06-11T12:44:45+08:00 ] /crm/index.php/Index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2014-06-11T12:44:45+08:00 ] /crm/index.php/Index/index | INFO: Tag[ app_begin ] --START--
[ 2014-06-11T12:44:45+08:00 ] /crm/index.php/Index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2014-06-11T12:44:45+08:00 ] /crm/index.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2014-06-11T12:44:45+08:00 ] /crm/index.php/Index/index | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2014-06-11T12:44:45+08:00 ] /crm/index.php/Index/index | SQL: SHOW COLUMNS FROM `crm_department` [ RunTime:0.007000s ]
[ 2014-06-11T12:44:45+08:00 ] /crm/index.php/Index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2014-06-11T12:44:45+08:00 ] /crm/index.php/Index/index | SQL: SELECT `perm` FROM `crm_department` WHERE did=3 LIMIT 1   [ RunTime:0.002000s ]
[ 2014-06-11T12:44:45+08:00 ] /crm/index.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2014-06-11T12:44:45+08:00 ] /crm/index.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.020001s ]
[ 2014-06-11T12:44:45+08:00 ] /crm/index.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.020001s ]
[ 2014-06-11T12:44:45+08:00 ] /crm/index.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2014-06-11T12:44:45+08:00 ] /crm/index.php/Index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2014-06-11T12:44:45+08:00 ] /crm/index.php/Index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:44:45+08:00 ] /crm/index.php/Index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:44:45+08:00 ] /crm/index.php/Index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:44:45+08:00 ] /crm/index.php/Index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:44:45+08:00 ] /crm/index.php/Index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:44:45+08:00 ] /crm/index.php/Index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:44:45+08:00 ] /crm/index.php/Index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:44:45+08:00 ] /crm/index.php/Index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:44:45+08:00 ] /crm/index.php/Index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:44:45+08:00 ] /crm/index.php/Index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2014-06-11T12:44:45+08:00 ] /crm/index.php/Index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2014-06-11T12:44:45+08:00 ] /crm/index.php/Index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:44:45+08:00 ] /crm/index.php/Index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-06-11T12:44:45+08:00 ] /crm/index.php/Index/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
